Question,Answer,Class,Profile,Profile_fr,Profile_ar,Class_fr,Class_ar,Question_fr,Question_ar,Answer_fr,Answer_ar
case unable access company current account,"if you are unable to access your company current account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in the name of the company as well as each of the authorized signatory(ies). the authorised signatory(ies) is distinct and has to be used to access netbanking for the company account. for more details, contact us",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,cas impossible accès entreprise compte courant,الحساب الجاري للشركة,"si vous n'êtes pas en mesure d'accéder à votre compte courant de l'entreprise, c'est peut-être parce que vous avez saisi un numéro d'identification du client incorrect (identifiant d'écoute) pour vous connecter à votre compte netbanking. lors de l'ouverture de comptes d'entreprises, des identifiants clients distincts sont créés au nom de l'entreprise ainsi que de chacun des signataires autorisés. le(s) signataire(s) autorisé(s) est(nt) distinct(s) et doit(nt) être utilisé(s) pour accéder au compte de la société. pour plus de détails, contactez-nous",إذا كنت غير قادرة على الدخول إلى حساب شركتك الحالي، قد يكون ذلك لأنك دخلت رقم تعريف غير صحيح للزبائن (المتهم د) وفي الوقت الذي تُفتح فيه حسابات الشركات، تُنشأ مصادقات عملاء منفصلة باسم الشركة وكذلك باسم كل من الموقعين المأذون لهم. والموقّع (الموقّعون) المرخص له متميز ويجب استخدامه للوصول إلى مصرف حساب الشركة. لمزيد من التفاصيل، اتصل بنا
transaction included part free intercity clearing limit,the following transactions comprise part of the free inter-city clearing limit: cheques deposited into your account in other cities (in local clearing/within bank) inter-city payable-at-par cheque issuances view more,accounts,back office operator,opérateur de back office,مشغل المكاتب,comptes,الحسابات,transaction incluse partie libre limite de compensation interurbain,شملت المعاملات جزءاً من الحد الأقصى للتبادل الحر,les transactions suivantes comprennent une partie de la limite de compensation gratuite entre villes: chèques déposés dans votre compte dans d'autres villes (en compensation locale/à l'intérieur de la banque) émissions de chèques à payer entre villes par correspondance voir plus,تشمل المعاملات التالية جزءاً من حدود المقاصة الحرة بين المدن: الشيكات المودعة في حسابك في مدن أخرى (في المقاصة المحلية/المصرف المحلي)
bank premium different regular offered bank,an m&n bank premium current account offers you a host of features that sets it apart from any regular current accounts that most banks offer.these features are: free intercity clearing between m&n bank branch locations up to 100 free payable-at-par cheque leaves per month view more,accounts,other,autres,أخرى,comptes,الحسابات,prime bancaire différent ordinaire offert banque,أقساط مصرفية مختلفة,Un compte courant premium bancaire vous offre une foule de fonctionnalités qui le distinguent de tout compte courant régulier que la plupart des banques offrent. Ces caractéristiques sont les suivantes: libre compensation interurbain entre les succursales de la banque m&n jusqu'à 100 feuilles gratuites de chèques payables à la carte par mois voir plus,الحساب الجاري لقسط البنك يقدم لك مجموعة من الملامح التي تضعه بعيداً عن أي حسابات جارية عادية وهذه الملامح هي: التطهير الحر بين مواقع فروع البنوك التابعة للبنك المختلط بما يصل إلى 100 أوراق شيكية مجانية واجبة الدفع في كل شهر
must open premium current account location company office,"no. as a premium current account holder you have the advantage of a single account, multi-location banking facility.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,doit ouvrir le bureau de la société de localisation de compte courant premium,يجب أن يفتتح مكتب الحساب الجاري,"non. en tant que titulaire de compte courant premium, vous avez l'avantage d'un compte unique, une facilité bancaire multilocalisée.",لا، كحاملة حسابات جارية لديك ميزة حساب واحد، مرفق مصرفي متعدد المواقع.
access premium current account bank branch,"yes, you can. our advanced technology provides you with the flexibility of accessing your account from any of our branches.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,accès prime compte courant succursale bancaire,الحساب الجاري,"Oui, vous pouvez. notre technologie de pointe vous offre la flexibilité d'accéder à votre compte de n'importe quelle de nos succursales.",نعم، يمكنك، التكنولوجيا المتقدمة لدينا توفر لك المرونة في الحصول على حسابك من أي من فروعنا.
premium current account make payment supplier bank branch single cheque book,"yes. when you open an account, you will be issued an at-par cheque book, which is payable at all our branches.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,prime compte courant faire paiement fournisseur banque succursale seul chéquier,الحساب الجاري يدفع لموردي الحسابات,"Oui. lorsque vous ouvrez un compte, vous recevrez un carnet de chèques à la carte, qui est payable dans toutes nos succursales.",نعم عندما تفتحين حساباً، ستصدرين كتاباً مكتوباً، والذي يدفع في جميع فروعنا.
access account telephone conduct routine daily transaction,yes you can. you can use phonebanking to perform the following operations: access your account details request account statements make fixed deposit related queries inquire about interest and fx rates request a cash delivery or pick-up order a new cheque book view more,accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,compte d'accès téléphone effectuer des transactions quotidiennes courantes,إجراء المعاملات اليومية الروتينية,Si tu peux. vous pouvez utiliser la banque de téléphone pour effectuer les opérations suivantes : accéder aux détails de votre compte demander les relevés de compte faire des demandes de dépôt fixe liée à l'enquête sur les intérêts et les taux fx demander une livraison en espèces ou la commande d'un nouveau carnet de chèques voir plus,نعم يمكنك يمكنك استخدام مصارف الهاتف للقيام بالعمليات التالية: الحصول على تفاصيل حسابك بيانات حساب الطلب تجعل الاستفسارات ذات الصلة بالودائع الثابتة تتساءل عن الفائدة وأسعار الثمرة تطلب تسليما نقديا أو طلب طلب طلب كتاب شيك جديد
included bulk transaction,"bulk transactions include: local clearing transactions anywhere clearing transactions local fund transfer transactions anywhere fund transfer transactions, view more",accounts,back office operator,opérateur de back office,مشغل المكاتب,comptes,الحسابات,incluait une transaction en vrac,تشمل المعاملات بالجملة,"les opérations de transfert de fonds locaux, voir plus",تشمل المعاملات السائبة ما يلي: معاملات المقاصة المحلية في أي مكان توضيح المعاملات المحلية لتحويل الأموال في أي مكان من معاملات تحويل الأموال
document required opening current account partnership firm,following documents are required for opening a current account of a partnership firm: latest partnership deed documents establishing proof of existence - certificate of registration under any statute/act or professional bodies - registration certificate issued by registrar of firms - valid business license or certificate of registration issued by state/central government authority (validity would include the grace period for renewal as mentioned in the certificate) - pan card in the name of the firm; - self-signed cheque issued from the firmatms account from a psu/private sector/foreign bank along with a bank statement not older than four months documents for establishing proof of address - landline telephone bill/electricity bill of public and approved private operators in the state. (bills not to be older than 4 months from the date of account opening) - property ownership deed i.e. title deeds of the property in the name of the firm duly stamped and registered - latest property tax or water tax paid receipt/bill raised in the name of the firm - tan allotment letter in the name of the firm - existing bank account statement or passbook of a psu/private sector/foreign bank - statement not older than 4 months from the date of account opening to be accepted documents for establishing photo identity of authorised partners/signatories view more,accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,document requis ouverture entreprise de partenariat de compte courant,الوثيقة المطلوبة,"les documents suivants sont requis pour l'ouverture d'un compte courant d'une société de personnes: les derniers actes de partenariat établissant la preuve de l'existence - certificat d'enregistrement en vertu d'un statut ou d'un acte ou d'un organisme professionnel - certificat d'enregistrement délivré par l'registrateur d'entreprises - licence d'entreprise ou certificat d'enregistrement valide délivré par l'autorité de l'État ou du gouvernement central (la validité comprendrait le délai de grâce pour le renouvellement mentionné dans le certificat) - carte pan au nom de l'entreprise; - chèque autosigné émis sur le compte de l'entreprise par une banque extérieure ou un secteur privé et un relevé bancaire d'au plus quatre mois pour établir la preuve de l'adresse - facture de téléphone fixe/acte d'électricité des opérateurs privés agréés dans l'État. (bills ne devant pas être plus de 4 mois à compter de la date d'ouverture du compte) - acte de propriété, c'est-à-dire titres de propriété du bien au nom de l'entreprise dûment estampillé et enregistré - dernière taxe foncière ou taxe sur l'eau payée reçu/bill élevé au nom de l'entreprise - lettre d'attribution tan au nom de l'entreprise - relevé de compte bancaire existant ou livret d'un secteur privé/banque étrangère - relevé pas plus de 4 mois à compter de la date d'ouverture du compte pour être accepté documents pour l'établissement de l'identité photographique des partenaires/signataires autorisés voir plus",وتلزم الوثائق التالية لفتح حساب حالي لشركة شراكة: آخر وثائق صادرة عن شراكة تثبت وجودها - شهادة تسجيل بموجب أي نظام أساسي/قانون أو هيئة مهنية - شهادة تسجيل صادرة عن مسجل للشركات - رخصة تجارية صحيحة أو شهادة تسجيل صادرة عن سلطة حكومية حكومية حكومية حكومية حكومية حكومية مركزية (تتضمن السرية فترة سماح للتجديد على النحو المشار إليه في الشهادة) - بطاقة رقمية باسم الشركة؛ (بدون أن تكون أكبر من 4 أشهر من تاريخ فتح الحساب) - صك ملكية الممتلكات، أي سندات ملكية الممتلكات باسم الشركة التي خُتمت وسجلت على النحو الواجب - تُدفع آخر ضريبة على الممتلكات أو ضريبة على المياه التي تم تحصيلها أو جمعها باسم الشركة - رسالة تخصيص للدبابات باسم الشركة - بيان الحساب المصرفي القائم أو سجل تاريخ فتح حساب سو/قطاع خاص/مصرف أجنبي أقدم -
become eligible bank regular current account,"if the average quarterly balance (aqb) in your current account is over rs.10,000 you are eligible to enjoy the benefits of a regular current account.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,devenir un compte courant régulier bancaire admissible,يصبح الحساب المصرفي العادي,si le solde trimestriel moyen de votre compte courant est supérieur à rs. 10 000 personnes peuvent profiter des avantages d'un compte courant régulier.,إذا كان متوسط التوازن الفصلي في حسابك الحالي أكثر من اللازم 10000 أنت مؤهل للتمتع بفوائد الحساب الحالي العادي
must open regular current account location company office,"no. as a regular current account holder you have the advantage of single account, multi-location banking.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,doit ouvrir le bureau de l'entreprise du compte courant,يجب أن يفتح المكتب العادي لموقع الحسابات الجارية,"non. en tant que titulaire régulier de compte courant, vous avez l'avantage d'un compte unique, bancaire multi-local.",كلا، كمحاسب حالي منتظم لديك ميزة حساب واحد مصرفي متعدد المواقع
initial deposit amount required open flexi account,"the initial deposit amount to open a flexi current account is rs.75,000.",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,montant du dépôt initial requis compte ouvert flexi,المبلغ الأولي للودائع المطلوبة,"le montant du dépôt initial pour ouvrir un compte courant flexi est de rs.75,000.",وتبلغ قيمة الودائع الأولية لفتح الحساب الجاري المختلط 000 775 روبية.
case unable access company current account using netbanking,"if you are unable to access your company account, it may be because you have entered an incorrect customer identification number (cust id) to log into your netbanking account. while opening accounts of companies, separate customer ids are created in name of the company as well as each of the authorized signatory(ies). the latter is distinct and has to be used to access netbanking for the company's account. however, we regret our inability to disclose the appropriate customer id on an unsecure e-mail and request you to contact our nearest branch or phonebanking center for this. for more details, contact us view more",accounts,relationship manager,gestionnaire de relations,مدير العلاقة,comptes,الحسابات,cas d'impossibilité d'accéder au compte courant de l'entreprise en utilisant netbanking,غير قادر على الوصول إلى الحساب الجاري للشركة باستخدام صافي المصرف,"si vous n'êtes pas en mesure d'accéder à votre compte d'entreprise, c'est peut-être parce que vous avez saisi un numéro d'identification du client incorrect (identifiant d'écoute) pour vous connecter à votre compte netbanking. lors de l'ouverture de comptes d'entreprises, des identifiants clients distincts sont créés au nom de l'entreprise ainsi que de chacun des signataires autorisés. ce dernier est distinct et doit être utilisé pour accéder à la banque nette pour le compte de la société. Cependant, nous regrettons notre incapacité à divulguer l'identifiant client approprié sur un e-mail non sécurisé et vous demandons de contacter notre succursale ou centre de banque téléphonique le plus proche pour cela. pour plus de détails, contactez-nous voir plus",إذا كنت غير قادرة على الدخول إلى حساب شركتك، قد يكون ذلك لأنك دخلت رقم تعريف غير صحيح للزبائن (المتهم د) للدخول إلى حسابك المصرفي الصافي. وفي الوقت الذي تُفتح فيه حسابات الشركات، تُنشأ مصادقات عملاء منفصلة باسم الشركة وكذلك باسم كل من الموقعين المأذون لهم (الموقعين). هذه الأخيرة مميزة ويجب أن تُستخدم للوصول إلى مصرف حساب الشركة ومع ذلك، نأسف لعدم تمكننا من الكشف عن العميل المناسب الذي حصل على بريد إلكتروني غير آمن، ونطلب منكم الاتصال بأقرب فرع أو مركز لصرف الهاتف لهذا الغرض. للمزيد من التفاصيل، اتصل بنا
